[1]	E. McCafferty, Introduction to corrosion science, Springer Science & Business Media, 2010.
[38]	Z. Wang, P. Li, Y. Chen, J. He, W. Zhang, O.G. Schmidt, Y. Li, Pure thiophene-sulfur doped reduced graphene oxide: Synthesis, structure, and electrical properties, Nanoscale. 6 (2014) 7281–7287. https://doi.org/10.1039/c3nr05061k.
[39]	M. Ramezanzadeh, B. Ramezanzadeh, M. Mahdavian, G. Bahlakeh, Development of metal-organic framework (MOF) decorated graphene oxide nanoplatforms for anti-corrosion epoxy coatings, Carbon N Y. 161 (2020) 231–251. https://doi.org/10.1016/j.carbon.2020.01.082.
[40]	C. Zhai, M. Sun, M. Zhu, S. Song, S. Jiang, A new method to synthesize sulfur-doped graphene as effective metal-free electrocatalyst for oxygen reduction reaction, Appl Surf Sci. 407 (2017) 503–508. https://doi.org/10.1016/j.apsusc.2017.02.191.
[41]	K. McLAREN, XIII—The Development of the CIE 1976 (L* a* b*) Uniform Colour Space and Colour?difference Formula, Journal of the Society of Dyers and Colourists. 92 (1976) 338–341. https://doi.org/10.1111/j.1478-4408.1976.tb03301.x.
[42]	Y. Chen, B. Ren, S. Gao, R. Cao, The sandwich-like structures of polydopamine and 8-hydroxyquinoline coated graphene oxide for excellent corrosion resistance of epoxy coatings, J Colloid Interface Sci. 565 (2020) 436–448. https://doi.org/10.1016/j.jcis.2020.01.051.
[43]	X. Liu, R. Ma, X. Wang, Y. Ma, Y. Yang, L. Zhuang, S. Zhang, R. Jehan, J. Chen, X. Wang, Graphene oxide-based materials for efficient removal of heavy metal ions from aqueous solution: A review, Environmental Pollution. 252 (2019) 62–73. https://doi.org/10.1016/j.envpol.2019.05.050.
[44]	R. Samiee, B. Ramezanzadeh, M. Mahdavian, E. Alibakhshi, Designing a non-hazardous nano-carrier based on graphene oxide @ Polyaniline-Praseodymium (III) for fabrication of the Active /Passive anti- corrosion coating, Journal of Hazardous. 398 (2020) 123136.
[45]	Z. Hu, L. Cai, J. Liang, X. Guo, W. Li, Z. Huang, Green synthesis of expanded graphite/layered double hydroxides nanocomposites and their application in adsorption removal of Cr(VI) from aqueous solution, J Clean Prod. 209 (2019) 1216–1227. https://doi.org/10.1016/j.jclepro.2018.10.295.
[46]	N. Mozhzhukhina, L.P. Méndez De Leo, E.J. Calvo, Infrared spectroscopy studies on stability of dimethyl sulfoxide for application in a Li-air battery, Journal of Physical Chemistry C. 117 (2013) 18375–18380. https://doi.org/10.1021/jp407221c.
[47]	N. Mozhzhukhina, L.P. Méndez De Leo, E.J. Calvo, Infrared spectroscopy studies on stability of dimethyl sulfoxide for application in a Li-air battery, Journal of Physical Chemistry C. 117 (2013) 18375–18380. https://doi.org/10.1021/jp407221c.
[48]	N. Atar, M.L. Yola, A novel QCM immunosensor development based on gold nanoparticles functionalized sulfur-doped graphene quantum dot and h-ZnS-CdS NC for Interleukin-6 detection, Anal Chim Acta. 1148 (2021) 338202. https://doi.org/10.1016/j.aca.2021.338202.
[49]	W. Zhang, Y. Jiang, Y. Ding, M. Zheng, S. Wu, X. Lu, X. Gao, Q. Wang, G. Zhou, J. Liu, M.J. Naughton, K. Kempa, J. Gao, Solvent-induced textured structure and improved crystallinity for high performance perovskite solar cells, Opt Mater Express. 7 (2017) 2150. https://doi.org/10.1364/ome.7.002150.
[50]	H. Mobtaker, M. Azadi, N. Hassani, M. Neek-Amal, M. Rassouli, M.A. Bidi, The inhibition performance of quinoa seed on corrosion behavior of carbon steel in the HCl solution; theoretical and experimental evaluations, J Mol Liq. 335 (2021) 116183. https://doi.org/10.1016/j.molliq.2021.116183.
[51]	N. Alipanah, H. Yari, M. Mahdavian, B. Ramezanzadeh, G. Bahlakeh, Fabrication of MIL-88A sandwiched in graphene oxide nanocomposites using a green approach to induce active/barrier protective functioning in epoxy coatings, J Clean Prod. 321 (2021) 128928.
[52]	S. Saadatmandi, M. Asghari, B. Ramezanzadeh, Effective epoxy composite coating mechanical/fracture toughness properties improvement by incorporation of graphene oxide nano-platforms reduced by a green/biocompataible reductant, Journal of Industrial and Engineering Chemistry. 75 (2019) 271–284.
[53]	J. Lee, S. Noh, N.D. Pham, J.H. Shim, Top-down synthesis of S-doped graphene nanosheets by electrochemical exfoliation of graphite: metal-free bifunctional catalysts for oxygen reduction and evolution reactions, Electrochim Acta. 313 (2019) 1–9.
[54]	S.M. Lashgari, H. Yari, M. Mahdavian, B. Ramezanzadeh, G. Bahlakeh, M. Ramezanzadeh, Synthesis of graphene oxide nanosheets decorated by nanoporous zeolite-imidazole (ZIF-67) based metal-organic framework with controlled-release corrosion inhibitor performance: Experimental and detailed DFT-D theoretical explorations, J Hazard Mater. 404 (2021) 124068.
[55]	B. Ramezanzadeh, E. Ghasemi, M. Mahdavian, E. Changizi, M.H.M. Moghadam, Covalently-grafted graphene oxide nanosheets to improve barrier and corrosion protection properties of polyurethane coatings, Carbon N Y. 93 (2015) 555–573.
[56]	P. Haghdadeh, M. Ghaffari, B. Ramezanzadeh, G. Bahlakeh, M.R. Saeb, The role of functionalized graphene oxide on the mechanical and anti-corrosion properties of polyurethane coating, J Taiwan Inst Chem Eng. 86 (2018) 199–212.
[57]	S. Khamseh, E. Alibakhshi, B. Ramezanzadeh, M. Ganjaee Sari, A tailored pulsed substrate bias voltage deposited (a-C: Nb) thin-film coating on GTD-450 stainless steel: Enhancing mechanical and corrosion protection characteristics, Chemical Engineering Journal. 404 (2021) 126490. https://doi.org/10.1016/j.cej.2020.126490.
[58]	S. Khamseh, M.G. Sari, E. Alibakhshi, M.N. Valandaran, Hydrogen-free Cu: Amorphous-C: N Coating on TC4 Titanium Alloy: The Role of Gas Ratio on Mechanical and Antibacterial Potency, Progress in Color, Colorants and Coatings. 14 (2021) 281–291.
[59]	L.M. Rivera, S. Fajardo, M. del C. Arévalo, G. Garc?a, E. Pastor, S-and N-doped graphene nanomaterials for the oxygen reduction reaction, Catalysts. 7 (2017) 278.
[60]	I. Calizo, I. Bejenari, M. Rahman, G. Liu, A.A. Balandin, Ultraviolet Raman microscopy of single and multilayer graphene, J Appl Phys. 106 (2009) 043509. https://doi.org/10.1063/1.3197065.
[61]	B. Ma, R.D. Rodriguez, A. Ruban, S. Pavlov, E. Sheremet, The correlation between electrical conductivity and second-order Raman modes of laser-reduced graphene oxide, Physical Chemistry Chemical Physics. 21 (2019) 10125–10134. https://doi.org/10.1039/c9cp00093c.
[62]	X. Duan, K. O’Donnell, H. Sun, Y. Wang, S. Wang, Sulfur and Nitrogen Co-Doped Graphene for Metal-Free Catalytic Oxidation Reactions, Small. 11 (2015) 3036–3044. https://doi.org/10.1002/smll.201403715.
[63]	S. Yang, L. Zhi, K. Tang, X. Feng, J. Maier, K. Müllen, Efficient synthesis of heteroatom (N or S)-doped graphene based on ultrathin graphene oxide-porous silica sheets for oxygen reduction reactions, Adv Funct Mater. 22 (2012) 3634–3640. https://doi.org/10.1002/adfm.201200186.
[64]	Q. Xu, X. Lin, L. Gan, G. Owens, Z. Chen, Green reduction of graphene oxide using Bacillus sphaericus, J Colloid Interface Sci. 605 (2022) 881–887. https://doi.org/10.1016/J.JCIS.2021.07.102.
[65]	D. Li, A.W. Neumann, Contact angles on hydrophobic solid surfaces and their interpretation, J Colloid Interface Sci. 148 (1992) 190–200. https://doi.org/10.1016/0021-9797(92)90127-8.
[66]	D. Li, A.W. Neumann, Contact angles on hydrophobic solid surfaces and their interpretation, J Colloid Interface Sci. 148 (1992) 190–200. https://doi.org/10.1016/0021-9797(92)90127-8.
[67]	S. Amrollahi, B. Ramezanzadeh, H. Yari, M. Ramezanzadeh, M. Mahdavian, In-situ growth of ceria nanoparticles on graphene oxide nanoplatelets to be used as a multifunctional (UV shield/radical scavenger/anticorrosive) hybrid compound for exterior coatings, Prog Org Coat. 136 (2019) 105241. https://doi.org/10.1016/j.porgcoat.2019.105241.
[68]	A. El-Bindary, H. Kiwaan, A.G. Shoair, F. El-Ablack, A. Eessa, Synthesis and characterization of hyperbranched silane-modified alkyd as a polymer for environmentally friendly low VOC polyurethane coatings, Pigment and Resin Technology. 49 (2020) 102–109. https://doi.org/10.1108/PRT-10-2018-0108.
[69]	E. Yousif, R. Haddad, Photodegradation and photostabilization of polymers, especially polystyrene: Review, Springerplus. 2 (2013) 1–32. https://doi.org/10.1186/2193-1801-2-398.
[70]	P.C.P. Watts, P.K. Fearon, W.K. Hsu, N.C. Billingham, H.W. Kroto, D.R.M. Walton, Carbon nanotubes as polymer antioxidants, J Mater Chem. 13 (2003) 491–495. https://doi.org/10.1039/b211328g.
[71]	Y. Qiu, Z. Wang, A.C.E. Owens, I. Kulaots, Y. Chen, A.B. Kane, R.H. Hurt, Antioxidant chemistry of graphene-based materials and its role in oxidation protection technology, Nanoscale. 6 (2014) 11744–11755. https://doi.org/10.1039/c4nr03275f.
[72]	S. Amanian, R. Naderi, M. Mahdavian, The Role of an In-Situ Grown Zn-Al Layered Double Hydroxide Conversion Coating in the Protective Properties of Epoxy Coating on Galvanized Steel, J Electrochem Soc. 169 (2022) 031511. https://doi.org/10.1149/1945-7111/ac5d95.
[73]	S.Z. Haeri, M. Asghari, B. Ramezanzadeh, Enhancement of the mechanical properties of an epoxy composite through inclusion of graphene oxide nanosheets functionalized with silica nanoparticles through one and two steps sol-gel routes, Prog Org Coat. 111 (2017) 1–12. https://doi.org/10.1016/j.porgcoat.2017.05.003.
[74]	M. Sun, B. Ma, R. Weng, Synthesis and properties of perfluorinated alkyl silicone oil modified epoxy resin, Journal Wuhan University of Technology, Materials Science Edition. 29 (2014) 361–366. https://doi.org/10.1007/s11595-014-0922-7.
[75]	M. Amini, R. Naderi, M. Mahdavian, A. Badiei, Release of lanthanum cations loaded into piperazine-modified SBA-15 to inhibit the mild steel corrosion, Microporous and Mesoporous Materials. 315 (2021) 110908. https://doi.org/10.1016/j.micromeso.2021.110908.
[76]	N. Parhizkar, T. Shahrabi, B. Ramezanzadeh, A new approach for enhancement of the corrosion protection properties and interfacial adhesion bonds between the epoxy coating and steel substrate through surface treatment by covalently modified amino functionalized graphene oxide film, Corros Sci. 123 (2017) 55–75. https://doi.org/10.1016/j.corsci.2017.04.011.
[77]	M. Mahdavian, H. Yari, B. Ramezanzadeh, G. Bahlakeh, M. Hasani, Immobilization of ultraviolet absorbers on graphene oxide nanosheets to be utilized as a multifunctional hybrid UV-blocker: A combined density functional theory and practical application, Appl Surf Sci. 447 (2018) 135–151. https://doi.org/10.1016/j.apsusc.2018.03.211.
[78]	M. Amini, R. Naderi, M. Mahdavian, A. Badiei, Effect of Piperazine Functionalization of Mesoporous Silica Type SBA-15 on the Loading Efficiency of 2-Mercaptobenzothiazole Corrosion Inhibitor, Ind Eng Chem Res. 59 (2020) 3394–3404. https://doi.org/10.1021/acs.iecr.9b05261.
[79]	T. Jiang, T. Kuila, N.H. Kim, B.C. Ku, J.H. Lee, Enhanced mechanical properties of silanized silica nanoparticle attached graphene oxide/epoxy composites, Compos Sci Technol. 79 (2013) 115–125. https://doi.org/10.1016/j.compscitech.2013.02.018.
[80]	K. Ollik, J. Karczewski, M. Lieder, Effect of functionalization of reduced graphene oxide coatings with nitrogen and sulfur groups on their anti-corrosion properties, Materials. 14 (2021). https://doi.org/10.3390/ma14061410.
[81]	M. Mahdavian, M.M. Attar, Another approach in analysis of paint coatings with EIS measurement: Phase angle at high frequencies, Corros Sci. 48 (2006) 4152–4157. https://doi.org/10.1016/j.corsci.2006.03.012.
[82]	X. Luo, S. Yuan, X. Pan, C. Zhang, S. Du, Y. Liu, Synthesis and Enhanced Corrosion Protection Performance of Reduced Graphene Oxide Nanosheet/ZnAl Layered Double Hydroxide Composite Films by Hydrothermal Continuous Flow Method, ACS Appl Mater Interfaces. 9 (2017) 18263–18275. https://doi.org/10.1021/acsami.7b02580.
[83]	E. Alibakhshi, E. Ghasemi, M. Mahdavian, Progress in Organic Coatings Sodium zinc phosphate as a corrosion inhibitive pigment, Prog Org Coat. 77 (2014) 1155–1162. https://doi.org/10.1016/j.porgcoat.2014.03.027.
[84]	W.G. Ji, J.M. Hu, L. Liu, J.Q. Zhang, C.N. Cao, Improving the corrosion performance of epoxy coatings by chemical modification with silane monomers, Surf Coat Technol. 201 (2007) 4789–4795. https://doi.org/10.1016/j.surfcoat.2006.09.100.
[85]	B. Ramezanzadeh, E. Ghasemi, M. Mahdavian, E. Changizi, M.H. Mohamadzadeh Moghadam, Covalently-grafted graphene oxide nanosheets to improve barrier and corrosion protection properties of polyurethane coatings, Carbon N Y. 93 (2015) 555–573. https://doi.org/10.1016/j.carbon.2015.05.094.
[86]	M. V. Popa, P. Drob, E. Vasilescu, J.C. Mirza-Rosca, A.S. Lopez, C. Vasilescu, S.I. Drob, The pigment influence on the anticorrosive performance of some alkyd films, Mater Chem Phys. 100 (2006) 296–303. https://doi.org/10.1016/j.matchemphys.2006.01.002.
[87]	N. Tang, W.J. Van Ooij, G. G?recki, Comparative EIS study of pretreatment performance in coated metals, Prog Org Coat. 30 (1997) 255–263. https://doi.org/10.1016/S0300-9440(96)00691-1.
[88]	E. Potvin, L. Brossard, G. Larochelle, Corrosion protective performances of commercial low-VOC epoxy/urethane coatings on hot-rolled 1010 mild steel, Prog Org Coat. 31 (1997) 363–373. https://doi.org/10.1016/S0300-9440(97)00095-7.
[89]	M. Cui, S. Ren, H. Zhao, Q. Xue, L. Wang, Polydopamine coated graphene oxide for anticorrosive reinforcement of water-borne epoxy coating, Chemical Engineering Journal. (2017). https://doi.org/10.1016/j.cej.2017.10.172.
[90]	S.A.T. Nejad, E. Alibakhshi, B. Ramezanzadeh, S.A. Haddadi, M. Arjmand, M. Mahdavian, A novel nitrogen- and sulfur-grafted reduced graphene oxide doped with zinc cations for corrosion mitigation of mild steel, Prog Org Coat. 167 (2022) 106828. https://doi.org/10.1016/J.PORGCOAT.2022.106828.
[91]	C. Verma, D.K. Verma, E.E. Ebenso, M.A. Quraishi, Sulfur and phosphorus heteroatom-containing compounds as corrosion inhibitors: An overview, Heteroatom Chemistry. 29 (2018). https://doi.org/10.1002/hc.21437."
